,iata,name,municipalityName,countryCode,lat,lon,from,averageDailyFlights,dist,co2KGPerPerson,percentageco2(%)
0,DCA,"Ronald Reagan Washington National, District of Columbia",District of Columbia,US,38.8521,-77.0377,BOS,27.81,641.97,73.83,2.034590519023132
1,JFK,"John F Kennedy, New York",New York,US,40.6398,-73.7789,BOS,21.14,300.3,34.53,0.9515699664346302
2,MCO,"Orlando, Orlando",Orlando,US,28.4294,-81.309,BOS,17.29,1804.03,207.46,5.717135975572789
3,LGA,"La Guardia, New York",New York,US,40.7772,-73.8726,BOS,15.88,296.86,34.14,0.9408224342333704
4,ORD,"Chicago O'Hare, Chicago",Chicago,US,41.9786,-87.9048,BOS,14.53,1394.37,160.35,4.418889201210337
5,EWR,"Newark Liberty, Newark",Newark,US,40.6925,-74.1687,BOS,13.68,322.52,37.09,1.0221178701146956
6,ATL,"Hartsfield Jackson Atlanta, Atlanta",Atlanta,US,33.6367,-84.4281,BOS,13.29,1522.4,175.08,4.824815225119464
7,PHL,"Philadelphia, Philadelphia",Philadelphia,US,39.8719,-75.2411,BOS,11.43,450.44,51.8,1.4274927385263203
8,CLT,"Charlotte Douglas, Charlotte",Charlotte,US,35.214,-80.9431,BOS,11.01,1171.14,134.68,3.7114811201684335
9,FLL,"Fort Lauderdale Hollywood, Fort Lauderdale",Fort Lauderdale,US,26.0726,-80.1527,BOS,10.94,1991.09,228.98,6.310179290883338
10,TPA,"Tampa, Tampa",Tampa,US,27.9755,-82.5332,BOS,10.29,1906.62,219.26,6.042317719098089
11,SFO,"San Francisco, San Francisco",San Francisco,US,37.619,-122.375,BOS,10.01,4351.47,500.42,13.790461702960258
12,LAX,"Los Angeles, Los Angeles",Los Angeles,US,33.9425,-118.408,BOS,9.58,4201.84,483.21,13.316192397361068
13,MIA,"Miami, Miami",Miami,US,25.7932,-80.2906,BOS,9.0,2024.97,232.87,6.417379035147186
14,RDU,"Raleigh Durham, Raleigh/Durham",Raleigh/Durham,US,35.8776,-78.7875,BOS,8.39,984.63,113.23,3.1203668490991365
15,DFW,"Dallas Fort Worth, Dallas-Fort Worth",Dallas-Fort Worth,US,32.8968,-97.038,BOS,8.05,2513.05,289.0,7.964196938882368
16,LHR,"London Heathrow, London",London,GB,51.4706,-0.461941,BOS,7.86,5254.42,604.26,16.652061045982904
17,BWI,"Baltimore/Washington  Thurgood Marshall, Baltimore",Baltimore,US,39.1754,-76.6683,BOS,7.15,594.54,68.37,1.884125068205493
18,PBI,"Palm Beach, West Palm Beach",West Palm Beach,US,26.6832,-80.0956,BOS,6.93,1926.52,221.55,6.105425023561898
19,DTW,"Detroit Metropolitan Wayne County, Detroit",Detroit,US,42.2124,-83.3534,BOS,6.86,1017.3,116.99,3.2239840826292325
20,PIT,"Pittsburgh, Pittsburgh",Pittsburgh,US,40.4915,-80.2329,BOS,6.57,798.1,91.78,2.52925257802984
21,RSW,"Southwest Florida, Fort Myers",Fort Myers,US,26.5362,-81.7552,BOS,6.51,2010.64,231.22,6.371908706603395
22,SEA,"Seattle Tacoma, Seattle",Seattle,US,47.449,-122.309,BOS,6.01,4016.03,461.84,12.727282748281771
23,DEN,"Denver, Denver",Denver,US,39.8617,-104.673,BOS,5.85,2822.49,324.59,8.944978146684523
24,MSP,"Minneapolis-St Paul /Wold-Chamberlain, Minneapolis",Minneapolis,US,44.882,-93.2218,BOS,5.73,1808.59,207.99,5.731741596256552
25,SJU,"Luis Munoz Marin, San Juan",San Juan,PR,18.4394,-66.0018,BOS,5.58,2694.64,309.88,8.5396032782729
26,CLE,"Cleveland Hopkins, Cleveland",Cleveland,US,41.4117,-81.8498,BOS,5.43,905.27,104.11,2.869039942238904
27,CVG,"Cincinnati Northern Kentucky, Cincinnati",Cincinnati,US,39.0488,-84.6678,BOS,5.29,1209.94,139.14,3.834388796111047
28,RIC,"Richmond, Richmond",Richmond,US,37.5052,-77.3197,BOS,5.29,762.55,87.69,2.416541278790985
29,ACK,"Nantucket Memorial, Nantucket",Nantucket,US,41.2531,-70.0602,BOS,4.73,146.6,16.86,0.4646240843929298
30,AUS,"Austin Bergstrom, Austin",Austin,US,30.194498,-97.6699,BOS,4.59,2732.75,314.27,8.660581909974262
31,MVY,"Martha's Vineyard, Martha's Vineyard",Martha's Vineyard,US,41.3931,-70.6143,BOS,4.31,112.89,12.98,0.3576999178778309
32,IAH,"George Bush Intercontinental Houston, Houston",Houston,US,29.9844,-95.3414,BOS,4.16,2570.02,295.55,8.144700364313785
33,AUA,"Queen Beatrix, Oranjestad",Oranjestad,AW,12.501399,-70.0152,BOS,4.14,3311.09,380.78,10.493449516912207
34,IAD,"Washington Dulles, District of Columbia",District of Columbia,US,38.9445,-77.4558,BOS,4.04,664.17,76.38,2.104862844954447
35,CMH,"Port Columbus, Columbus",Columbus,US,39.998,-82.8919,BOS,4.0,1030.08,118.46,3.26449401169552
36,PHX,"Phoenix Sky Harbor, Phoenix",Phoenix,US,33.4343,-112.012,BOS,3.72,3701.1,425.63,11.7294157200571
37,YYZ,"Lester B. Pearson, Toronto",Toronto,CA,43.6772,-79.6306,BOS,3.57,717.31,82.49,2.2732408494408527
38,MDW,"Chicago Midway, Chicago",Chicago,US,41.786,-87.7524,BOS,3.53,1384.76,159.25,4.38857564884781
39,IND,"Indianapolis, Indianapolis",Indianapolis,US,39.7173,-86.2944,BOS,3.44,1316.43,151.39,4.171971538330109
40,MSY,"Louis Armstrong New Orleans, New Orleans",New Orleans,US,29.9934,-90.258,BOS,3.14,2200.61,253.07,6.9740460876227015
41,KEF,"Keflavik, Reykjavik",Reykjavik,IS,63.985,-22.6056,BOS,3.14,3883.2,446.57,12.306475525940137
42,TEB,"Teterboro, Teterboro",Teterboro,US,40.8501,-74.0608,BOS,3.14,304.96,35.07,0.966451164867144
43,JAX,"Jacksonville, Jacksonville",Jacksonville,US,30.4941,-81.6879,BOS,3.04,1625.64,186.95,5.151926012886015
44,BUF,"Buffalo Niagara, Buffalo",Buffalo,US,42.9405,-78.7322,BOS,3.0,636.22,73.17,2.0164023876056154
45,RUT,"Rutland - Southern Vermont Regional, Rutland",Rutland,US,43.5294,-72.9496,BOS,3.0,204.4,23.51,0.6478832873118494
46,BNA,"Nashville, Nashville",Nashville,US,36.1245,-86.6782,BOS,2.98,1516.46,174.39,4.805800360455695
47,CHS,"Charleston Air Force Base-, Charleston",Charleston,US,32.8986,-80.0405,BOS,2.89,1317.19,151.48,4.1744517380688615
48,SLC,"Salt Lake City, Salt Lake City",Salt Lake City,US,40.7884,-111.978,BOS,2.89,3387.92,389.61,10.736784669058682
49,RKD,"Knox County Regional, Rockland",Rockland,US,44.0601,-69.0992,BOS,2.86,243.99,28.06,0.7732711629932153
50,YTZ,"Billy Bishop Toronto City Centre, Toronto",Toronto,CA,43.6275,-79.3962,BOS,2.86,697.78,80.24,2.211235855972045
51,SRQ,"Sarasota Bradenton, Sarasota/Bradenton",Sarasota/Bradenton,US,27.3954,-82.5544,BOS,2.75,1963.5,225.8,6.222545566780757
52,LEB,"Lebanon Municipal, Lebanon",Lebanon,US,43.6261,-72.3042,BOS,2.71,175.36,20.17,0.5558403192292642
53,YUL,"Montréal Pierre Elliott Trudeau, Montréal",Montréal,CA,45.4706,-73.7408,BOS,2.71,408.77,47.01,1.2954909968749484
54,BHB,"Hancock County-Bar Harbor, Bar Harbor",Bar Harbor,US,44.45,-68.3615,BOS,2.65,315.62,36.3,1.0003472279634251
55,ROC,"Greater Rochester, Rochester",Rochester,US,43.1189,-77.6724,BOS,2.59,551.78,63.45,1.7485408158203677
56,PUJ,"Punta Cana, Punta Cana",Punta Cana,DO,18.567398,-68.3634,BOS,2.57,2650.31,304.79,8.39933420415902
57,LAS,"McCarran, Las Vegas",Las Vegas,US,36.0801,-115.152,BOS,2.45,3831.18,440.59,12.14168003218748
58,SAN,"San Diego, San Diego",San Diego,US,32.7336,-117.19,BOS,2.45,4164.18,478.88,13.196867232152206
59,NAS,"Lynden Pindling, Nassau",Nassau,BS,25.039,-77.4662,BOS,2.43,2011.3,231.3,6.374113328593396
60,HPN,"Westchester County, White Plains",White Plains,US,41.067,-73.7076,BOS,2.29,266.84,30.69,0.8457481109145324
61,CUN,"Cancún, Cancún",Cancún,MX,21.0365,-86.8771,BOS,2.29,2792.12,321.09,8.848525934621934
62,STL,"Lambert St Louis, Saint Louis",Saint Louis,US,38.7487,-90.37,BOS,2.22,1684.15,193.68,5.337389837794937
63,PVC,"Provincetown Municipal, Provincetown",Provincetown,US,42.0719,-70.2214,BOS,2.14,72.8,8.37,0.2306585757039633
64,MCI,"Kansas City, Kansas City",Kansas City,US,39.2976,-94.7139,BOS,2.02,2021.42,232.46,6.406080347448426
65,AUG,"Augusta State, Augusta",Augusta,US,44.3206,-69.7973,BOS,2.0,238.4,27.42,0.7556341870731991
66,MSS,"Massena  Richards Field, Massena",Massena,US,44.9358,-74.8456,BOS,2.0,421.0,48.41,1.334071881699984
67,MKE,"General Mitchell, Milwaukee",Milwaukee,US,42.9472,-87.8966,BOS,1.9,1383.81,159.14,4.385544293611557
68,DUB,"Dublin, Dublin",Dublin,IE,53.4213,-6.27007,BOS,1.86,4816.29,553.87,15.26342477003037
69,CDG,"Charles de Gaulle, Paris",Paris,FR,49.0128,2.549999,BOS,1.71,5549.81,638.23,17.58819865848752
70,SLK,"Adirondack Regional, Saranac Lake",Saranac Lake,US,44.3853,-74.2062,BOS,1.61,342.68,39.41,1.0860519078247546
71,SYR,"Syracuse Hancock, Syracuse",Syracuse,US,43.1112,-76.1063,BOS,1.59,425.42,48.92,1.3481263468862472
72,BED,"Laurence G Hanscom Field, Bedford",Bedford,US,42.47,-71.289,BOS,1.57,25.76,2.96,0.0815710136300754
73,LIS,"Lisbon Portela, Lisbon",Lisbon,PT,38.7813,-9.135919,BOS,1.43,5137.25,590.78,16.28058224066756
74,AMS,"Amsterdam Schiphol, Amsterdam",Amsterdam,NL,52.3086,4.763889,BOS,1.29,5563.05,639.75,17.63008647629756
75,HYA,"Barnstable Municipal Boardman Polando Field, Hyannis",Hyannis,US,41.6693,-70.2804,BOS,1.29,98.13,11.28,0.3108517005902875
76,DOH,"Hamad, Doha",Doha,QA,25.273056,51.608055,BOS,1.14,10489.29,1206.27,33.242117098497
77,SAT,"San Antonio, San Antonio",San Antonio,US,29.5337,-98.4698,BOS,1.14,2838.61,326.44,8.995960030203323
78,MYR,"Myrtle Beach, Myrtle Beach",Myrtle Beach,US,33.6797,-78.9283,BOS,1.02,1187.45,136.56,3.763289736933481
79,DXB,"Dubai, Dubai City",Dubai City,AE,25.252798,55.3644,BOS,1.0,10722.36,1233.07,33.98066546514768
80,FRG,"Republic, Farmingdale",Farmingdale,US,40.7288,-73.4134,BOS,1.0,270.67,31.13,0.8578735318595435
81,FRA,"Frankfurt-am-Main, Frankfurt-am-Main",Frankfurt-am-Main,DE,50.0264,8.543129,BOS,1.0,5904.44,679.01,18.71200471789106
82,YHZ,"Halifax / Stanfield, Halifax",Halifax,CA,44.8808,-63.5086,BOS,1.0,666.45,76.64,2.1120278664219536
83,EYW,"Key West, Key West",Key West,US,24.5561,-81.7596,BOS,1.0,2209.34,254.07,7.001603862497727
84,LGW,"London Gatwick, London",London,GB,51.1481,-0.190277,BOS,1.0,5283.68,607.62,16.74465516956299
85,SDF,"Louisville  Standiford Field, Louisville",Louisville,US,38.1744,-85.736,BOS,1.0,1334.06,153.42,4.2279138213264105
86,MUC,"Munich, Munich",Munich,DE,48.3538,11.7861,BOS,1.0,6198.31,712.81,19.64345750866692
87,STI,"Cibao, Santiago",Santiago,DO,19.4061,-70.6047,BOS,1.0,2545.91,292.78,8.068365327909962
88,SAV,"Savannah Hilton Head, Savannah",Savannah,US,32.1276,-81.2021,BOS,1.0,1449.85,166.73,4.594707804913
89,NRT,"Narita, Tokyo",Tokyo,JP,35.7647,140.386,BOS,1.0,10784.75,1240.25,34.178530288750366
90,ZRH,"Kloten, Zurich",Zurich,CH,47.4647,8.549169,BOS,1.0,6026.73,693.07,19.09946703263392
91,MBJ,"Sangster, Montego Bay",Montego Bay,JM,18.5037,-77.9134,BOS,0.87,2724.95,313.37,8.635779912586738
92,MDT,"Harrisburg, Harrisburg",Harrisburg,US,40.1935,-76.7634,BOS,0.86,538.87,61.97,1.7077553090053297
93,MEM,"Memphis, Memphis",Memphis,US,35.0424,-89.9767,BOS,0.86,1833.67,210.87,5.811107987896626
94,PDX,"Portland, Portland",Portland,US,45.5887,-122.598,BOS,0.86,4082.96,469.54,12.93947761481947
95,SDQ,"Las Américas, Santo Domingo City",Santo Domingo City,DO,18.4297,-69.6689,BOS,0.86,2656.74,305.53,8.419726957566539
96,SNN,"Shannon, Limerick city",Limerick city,IE,52.702,-8.924819,BOS,0.86,4658.97,535.78,14.764904622541158
97,HNL,"Honolulu, Honolulu",Honolulu,US,21.3187,-157.922,BOS,0.71,8199.16,942.9,25.984225929661537
98,PDL,"João Paulo II, Ponta Delgada",Ponta Delgada,PT,37.7412,-25.6979,BOS,0.6,3854.21,443.23,12.214432557857547
99,BZN,"Gallatin Field, Bozeman",Bozeman,US,45.7775,-111.153,BOS,0.57,3204.01,368.46,10.153937730451892
100,BTV,"Burlington, Burlington",Burlington,US,44.4719,-73.1533,BOS,0.57,291.35,33.51,0.9234610360621044
101,IST,"Istanbul, Istanbul",Istanbul,TR,41.275276,28.751944,BOS,0.57,7746.76,890.88,24.550670480662717
102,MAD,"Adolfo Suárez Madrid–Barajas, Madrid",Madrid,ES,40.4936,-3.56676,BOS,0.57,5487.41,631.05,17.390333834884835
103,MHT,"Manchester, Manchester",Manchester,US,42.9326,-71.4357,BOS,0.57,72.03,8.28,0.228178375965211
104,MMU,"Morristown Municipal, Morristown",Morristown,US,40.7994,-74.4149,BOS,0.57,332.97,38.29,1.0551871999647262
105,PTY,"Tocumen, Tocumen",Tocumen,PA,9.071359,-79.3835,BOS,0.57,3779.06,434.59,11.976333382937328
106,PSM,"Portsmouth  at Pease, Portsmouth",Portsmouth,US,43.0779,-70.8233,BOS,0.57,80.59,9.27,0.2554605730914863
107,HDN,"Yampa Valley, Hayden",Hayden,US,40.4812,-107.218,BOS,0.57,3011.14,346.28,9.542706283723827
108,SXM,"Princess Juliana, Saint Martin",Saint Martin,SX,18.041,-63.1089,BOS,0.5,2798.78,321.86,8.869745421275706
109,PLS,"Providenciales, Providenciales Island",Providenciales Island,TC,21.7736,-72.2659,BOS,0.45,2286.52,262.95,7.246316903387953
110,STT,"Cyril E. King, Charlotte Amalie, Harry S. Truman Airport","Charlotte Amalie, Harry S. Truman Airport",VI,18.3373,-64.9734,BOS,0.45,2724.55,313.32,8.634402023842986
111,CPH,"Copenhagen Kastrup, Copenhagen",Copenhagen,DK,55.6179,12.656,BOS,0.43,5907.16,679.32,18.72054762810232
112,NZY,"North Island Naval Air Station-Halsey Field, San Diego",San Diego,US,32.6992,-117.215,BOS,0.43,4168.06,479.33,13.20926823084597
113,GRU,"Guarulhos - Governador André Franco Montoro, São Paulo",São Paulo,BR,-23.435556,-46.473057,BOS,0.43,7709.62,886.61,24.432998781946356
114,ICN,"Incheon, Seoul",Seoul,KR,37.4691,126.451,BOS,0.43,10988.44,1263.67,34.82393337632347
115,AVL,"Asheville Regional, Asheville",Asheville,US,35.4362,-82.5418,BOS,0.29,1259.99,144.9,3.993121579391194
116,PDK,"DeKalb Peachtree, Atlanta",Atlanta,US,33.8756,-84.302,BOS,0.29,1495.75,172.01,4.740212856253135
117,BCN,"Barcelona, Barcelona",Barcelona,ES,41.2971,2.078459,BOS,0.29,5873.5,675.45,18.613899039335973
118,BLM,"Monmouth Executive, Belmar/Farmingdale",Belmar/Farmingdale,US,40.1869,-74.1249,BOS,0.29,355.86,40.92,1.1276641478860432
119,CHO,"Charlottesville Albemarle, Charlottesville",Charlottesville,US,38.1386,-78.4529,BOS,0.29,787.73,90.59,2.4964588259285594
120,VPS,"Eglin Air Force Base, Valparaiso",Valparaiso,US,30.4832,-86.5254,BOS,0.29,1911.06,219.77,6.056372184284353
121,GSP,"Greenville Spartanburg, Greenville",Greenville,US,34.8957,-82.2189,BOS,0.29,1278.73,147.05,4.052370795372498
122,APF,"Naples Municipal, Naples",Naples,US,26.1526,-81.7753,BOS,0.29,2049.66,235.71,6.495643115792259
123,TLV,"Ben Gurion, Tel Aviv Yafo",Tel Aviv Yafo,IL,32.0114,34.8867,BOS,0.29,8837.67,1016.33,28.00779333873466
124,BGR,"Bangor, Bangor",Bangor,US,44.8074,-68.8281,BOS,0.14,323.45,37.2,1.0251492253509484
125,BCT,"Boca Raton, Boca Raton",Boca Raton,US,26.378498,-80.1077,BOS,0.14,1958.08,225.18,6.20545974635824
126,BGI,"Sir Grantley Adams, Bridgetown",Bridgetown,BB,13.0746,-59.4925,BOS,0.14,3431.52,394.62,10.87484912118256
127,CDW,"Essex County, Caldwell",Caldwell,US,40.8752,-74.2814,BOS,0.14,318.95,36.68,1.0108191824159352
128,CLD,"Mc Clellan-Palomar, Carlsbad",Carlsbad,US,33.1283,-117.28,BOS,0.14,4150.85,477.35,13.15470383659342
129,BKL,"Burke Lakefront, Cleveland",Cleveland,US,41.5175,-81.6833,BOS,0.14,889.53,102.3,2.819160369715108
130,CGF,"Cuyahoga County, Cleveland",Cleveland,US,41.5651,-81.4864,BOS,0.14,872.46,100.33,2.764871553211308
131,CTH,"Chester County G O Carlson, Coatesville",Coatesville,US,39.979,-75.8655,BOS,0.14,485.98,55.89,1.540204037765175
132,DAL,"Dallas Love Field, Dallas",Dallas,US,32.8471,-96.8518,BOS,0.14,2501.27,287.65,7.926993942801082
133,EGE,"Eagle County Regional, Eagle",Eagle,US,39.6426,-106.918,BOS,0.14,3013.52,346.55,9.550146882940084
134,ESN,"Easton Newnam Field, Easton",Easton,US,38.8042,-76.069,BOS,0.14,582.78,67.02,1.8469220721242088
135,GCM,"Owen Roberts, Georgetown",Georgetown,KY,19.2928,-81.3577,BOS,0.14,2737.89,314.86,8.676840997150528
136,BDL,"Bradley, Hartford",Hartford,US,41.9389,-72.6832,BOS,0.14,146.22,16.82,0.4635217733979287
137,HKG,"Chek Lap Kok, Hong Kong",Hong Kong,HK,22.3089,113.915,BOS,0.14,12825.92,1474.98,40.6471667851651
138,LEX,"Blue Grass, Lexington",Lexington,US,38.0365,-84.6059,BOS,0.14,1251.61,143.94,3.9666661155111695
139,LIR,"Daniel Oduber Quiros, Liberia",Liberia,CR,10.593299,-85.5444,BOS,0.14,3794.54,436.37,12.025386222214877
140,LTN,"London Luton, London",London,GB,51.8747,-0.368333,BOS,0.14,5246.72,603.37,16.627534626344133
141,ONT,"Ontario, Ontario",Ontario,US,34.056,-117.601,BOS,0.14,4129.73,474.92,13.087738443647106
142,EWB,"New Bedford Regional, New Bedford",New Bedford,US,41.6761,-70.9569,BOS,0.14,76.71,8.82,0.2430595743977248
143,PHF,"Newport News Williamsburg, Newport News",Newport News,US,37.1319,-76.493,BOS,0.14,746.99,85.9,2.36721286176469
144,ELH,"North Eleuthera, North Eleuthera",North Eleuthera,BS,25.4749,-76.6835,BOS,0.14,1944.43,223.61,6.162194039804451
145,ECP,"Northwest Florida Beaches, Panama City Beach",Panama City Beach,US,30.3417,-85.7973,BOS,0.14,1876.58,215.81,5.947243395779251
146,BBX,"Wings Field, Philadelphia",Philadelphia,US,40.1375,-75.2651,BOS,0.14,434.01,49.91,1.375408544012522
147,SOP,"Moore County, Pinehurst/Southern Pines",Pinehurst/Southern Pines,US,35.2374,-79.3912,BOS,0.14,1074.2,123.53,3.404211930311899
148,PVD,"Theodore Francis Green State, Providence",Providence,US,41.7326,-71.4204,BOS,0.14,78.1,8.98,0.2474688183777289
149,POP,"Gregorio Luperon, Puerto Plata",Puerto Plata,DO,19.7579,-70.57,BOS,0.14,2507.02,288.31,7.9451820742186
150,SCF,"Scottsdale, Scottsdale",Scottsdale,US,33.6229,-111.911,BOS,0.14,3683.1,423.56,11.672371126065798
151,UVF,"Hewanorra, Vieux Fort",Vieux Fort,LC,13.7332,-60.9526,BOS,0.14,3318.07,381.58,10.515495736812229
152,MQY,"Smyrna, Smyrna",Smyrna,US,36.009,-86.5201,BOS,0.14,1511.25,173.79,4.7892656955306805
153,SGH,"Springfield-Beckley Municipal, Springfield",Springfield,US,39.8403,-83.8402,BOS,0.14,1112.49,127.94,3.525741717510761
154,SUA,"Witham Field, Stuart",Stuart,US,27.1817,-80.2211,BOS,0.14,1880.89,216.3,5.960746705468015
155,TER,"Lajes Field, Lajes",Lajes,PT,38.7618,-27.0908,BOS,0.14,3699.38,425.43,11.723904165082097
156,RDG,"Reading Regional Carl A Spaatz Field, Reading",Reading,US,40.3785,-75.9652,BOS,0.14,469.56,54.0,1.4881198432513767
157,YIP,"Willow Run, Detroit",Detroit,US,42.2379,-83.5304,BOS,0.14,1031.61,118.64,3.269454411173024
158,ILM,"Wilmington, Wilmington",Wilmington,US,34.2706,-77.9026,BOS,0.14,1081.15,124.33,3.426258150211919
159,ORH,"Worcester Regional, Worcester",Worcester,US,42.2673,-71.8757,BOS,0.14,72.23,8.31,0.2290051092114618
160,LAX,"Los Angeles, Los Angeles",Los Angeles,US,33.9425,-118.408,JFK,23.43,3983.0,458.05,12.622838781505427
161,BOS,"General Edward Lawrence Logan, Boston",Boston,US,42.3643,-71.0052,JFK,23.15,300.34,34.54,0.9518455441833804
162,MIA,"Miami, Miami",Miami,US,25.7932,-80.2906,JFK,17.57,1753.78,201.68,5.557852036795142
163,SFO,"San Francisco, San Francisco",San Francisco,US,37.619,-122.375,JFK,17.11,4161.9,478.62,13.1897022106847
164,LHR,"London Heathrow, London",London,GB,51.4706,-0.461941,JFK,16.86,5554.38,638.75,17.602528701422536
165,MCO,"Orlando, Orlando",Orlando,US,28.4294,-81.309,JFK,14.73,1519.4,174.73,4.815170003913204
166,RDU,"Raleigh Durham, Raleigh/Durham",Raleigh/Durham,US,35.8776,-78.7875,JFK,13.86,686.63,78.96,2.175961904132013
167,ATL,"Hartsfield Jackson Atlanta, Atlanta",Atlanta,US,33.6367,-84.4281,JFK,12.0,1222.99,140.64,3.8757254584235854
168,FLL,"Fort Lauderdale Hollywood, Fort Lauderdale",Fort Lauderdale,US,26.0726,-80.1527,JFK,9.99,1720.04,197.8,5.450927870280043
169,BUF,"Buffalo Niagara, Buffalo",Buffalo,US,42.9405,-78.7322,JFK,8.59,484.42,55.71,1.5352436382876702
170,CDG,"Charles de Gaulle, Paris",Paris,FR,49.0128,2.549999,JFK,8.29,5849.17,672.65,18.536737269685897
171,DCA,"Ronald Reagan Washington National, District of Columbia",District of Columbia,US,38.8521,-77.0377,JFK,8.0,342.76,39.42,1.086327485573505
172,SEA,"Seattle Tacoma, Seattle",Seattle,US,47.449,-122.309,JFK,8.0,3896.75,448.13,12.349465654745174
173,SJU,"Luis Munoz Marin, San Juan",San Juan,PR,18.4394,-66.0018,JFK,7.73,2571.18,295.69,8.148558452796289
174,SDQ,"Las Américas, Santo Domingo City",Santo Domingo City,DO,18.4297,-69.6689,JFK,7.71,2493.42,286.74,7.90191636766481
175,STI,"Cibao, Santiago",Santiago,DO,19.4061,-70.6047,JFK,7.57,2373.48,272.95,7.521894652138209
176,ORD,"Chicago O'Hare, Chicago",Chicago,US,41.9786,-87.9048,JFK,7.29,1190.87,136.95,3.774037269134741
177,CLT,"Charlotte Douglas, Charlotte",Charlotte,US,35.214,-80.9431,JFK,7.21,871.02,100.17,2.760462309231304
178,FCO,"Leonardo da Vinci–Fiumicino, Rome",Rome,IT,41.8045,12.2508,JFK,7.14,6883.71,791.63,21.81556132431643
179,BNA,"Nashville, Nashville",Nashville,US,36.1245,-86.6782,JFK,6.82,1232.0,141.68,3.904385544293612
180,PBI,"Palm Beach, West Palm Beach",West Palm Beach,US,26.6832,-80.0956,JFK,6.74,1654.15,190.23,5.2423155144761
181,DTW,"Detroit Metropolitan Wayne County, Detroit",Detroit,US,42.2124,-83.3534,JFK,6.59,818.72,94.15,2.59456450448365
182,CMH,"Port Columbus, Columbus",Columbus,US,39.998,-82.8919,JFK,6.44,777.55,89.42,2.46421622932478
