icao,iata,name,shortName,municipalityName,countryCode,lat,lon,from,averageDailyFlights
KDCA,DCA,"Ronald Reagan Washington National, District of Columbia",Ronald Reagan Washington National,District of Columbia,US,38.8521,-77.0377,BOS,27.81
KJFK,JFK,"John F Kennedy, New York",John F Kennedy,New York,US,40.6398,-73.7789,BOS,21.14
KMCO,MCO,"Orlando, Orlando",,Orlando,US,28.4294,-81.309,BOS,17.29
KLGA,LGA,"La Guardia, New York",La Guardia,New York,US,40.7772,-73.8726,BOS,15.88
KORD,ORD,"Chicago O'Hare, Chicago",O'Hare,Chicago,US,41.9786,-87.9048,BOS,14.53
KEWR,EWR,"Newark Liberty, Newark",Liberty,Newark,US,40.6925,-74.1687,BOS,13.68
KATL,ATL,"Hartsfield Jackson Atlanta, Atlanta",Hartsfield Jackson,Atlanta,US,33.6367,-84.4281,BOS,13.29
KPHL,PHL,"Philadelphia, Philadelphia",,Philadelphia,US,39.8719,-75.2411,BOS,11.43
KCLT,CLT,"Charlotte Douglas, Charlotte",Douglas,Charlotte,US,35.214,-80.9431,BOS,11.01
KFLL,FLL,"Fort Lauderdale Hollywood, Fort Lauderdale",Hollywood,Fort Lauderdale,US,26.0726,-80.1527,BOS,10.94
KTPA,TPA,"Tampa, Tampa",,Tampa,US,27.9755,-82.5332,BOS,10.29
KSFO,SFO,"San Francisco, San Francisco",,San Francisco,US,37.619,-122.375,BOS,10.01
KLAX,LAX,"Los Angeles, Los Angeles",,Los Angeles,US,33.9425,-118.408,BOS,9.58
KMIA,MIA,"Miami, Miami",,Miami,US,25.7932,-80.2906,BOS,9.0
KRDU,RDU,"Raleigh Durham, Raleigh/Durham",Raleigh Durham,Raleigh/Durham,US,35.8776,-78.7875,BOS,8.39
KDFW,DFW,"Dallas Fort Worth, Dallas-Fort Worth",Dallas Fort Worth,Dallas-Fort Worth,US,32.8968,-97.038,BOS,8.05
EGLL,LHR,"London Heathrow, London",Heathrow,London,GB,51.4706,-0.461941,BOS,7.86
KBWI,BWI,"Baltimore/Washington  Thurgood Marshall, Baltimore",Washington  Thurgood Marshall,Baltimore,US,39.1754,-76.6683,BOS,7.15
KPBI,PBI,"Palm Beach, West Palm Beach",Palm Beach,West Palm Beach,US,26.6832,-80.0956,BOS,6.93
KDTW,DTW,"Detroit Metropolitan Wayne County, Detroit",Metropolitan Wayne County,Detroit,US,42.2124,-83.3534,BOS,6.86
KPIT,PIT,"Pittsburgh, Pittsburgh",,Pittsburgh,US,40.4915,-80.2329,BOS,6.57
KRSW,RSW,"Southwest Florida, Fort Myers",Southwest Florida,Fort Myers,US,26.5362,-81.7552,BOS,6.51
KSEA,SEA,"Seattle Tacoma, Seattle",Tacoma,Seattle,US,47.449,-122.309,BOS,6.01
KDEN,DEN,"Denver, Denver",,Denver,US,39.8617,-104.673,BOS,5.85
KMSP,MSP,"Minneapolis-St Paul /Wold-Chamberlain, Minneapolis",St Paul /Wold-Chamberlain,Minneapolis,US,44.882,-93.2218,BOS,5.73
TJSJ,SJU,"Luis Munoz Marin, San Juan",Luis Munoz Marin,San Juan,PR,18.4394,-66.0018,BOS,5.58
KCLE,CLE,"Cleveland Hopkins, Cleveland",Hopkins,Cleveland,US,41.4117,-81.8498,BOS,5.43
KCVG,CVG,"Cincinnati Northern Kentucky, Cincinnati",Northern Kentucky,Cincinnati,US,39.0488,-84.6678,BOS,5.29
KRIC,RIC,"Richmond, Richmond",,Richmond,US,37.5052,-77.3197,BOS,5.29
KACK,ACK,"Nantucket Memorial, Nantucket",Memorial,Nantucket,US,41.2531,-70.0602,BOS,4.73
KAUS,AUS,"Austin Bergstrom, Austin",Bergstrom,Austin,US,30.194498,-97.6699,BOS,4.59
KMVY,MVY,"Martha's Vineyard, Martha's Vineyard",,Martha's Vineyard,US,41.3931,-70.6143,BOS,4.31
KIAH,IAH,"George Bush Intercontinental Houston, Houston",George Bush Intercontinental,Houston,US,29.9844,-95.3414,BOS,4.16
TNCA,AUA,"Queen Beatrix, Oranjestad",Queen Beatrix,Oranjestad,AW,12.501399,-70.0152,BOS,4.14
KIAD,IAD,"Washington Dulles, District of Columbia",Washington Dulles,District of Columbia,US,38.9445,-77.4558,BOS,4.04
KCMH,CMH,"Port Columbus, Columbus",Port,Columbus,US,39.998,-82.8919,BOS,4.0
KPHX,PHX,"Phoenix Sky Harbor, Phoenix",Sky Harbor,Phoenix,US,33.4343,-112.012,BOS,3.72
CYYZ,YYZ,"Lester B. Pearson, Toronto",Lester B. Pearson,Toronto,CA,43.6772,-79.6306,BOS,3.57
KMDW,MDW,"Chicago Midway, Chicago",Midway,Chicago,US,41.786,-87.7524,BOS,3.53
KIND,IND,"Indianapolis, Indianapolis",,Indianapolis,US,39.7173,-86.2944,BOS,3.44
KMSY,MSY,"Louis Armstrong New Orleans, New Orleans",Louis Armstrong,New Orleans,US,29.9934,-90.258,BOS,3.14
BIKF,KEF,"Keflavik, Reykjavik",Keflavik,Reykjavik,IS,63.985,-22.6056,BOS,3.14
KTEB,TEB,"Teterboro, Teterboro",,Teterboro,US,40.8501,-74.0608,BOS,3.14
KJAX,JAX,"Jacksonville, Jacksonville",,Jacksonville,US,30.4941,-81.6879,BOS,3.04
KBUF,BUF,"Buffalo Niagara, Buffalo",Niagara,Buffalo,US,42.9405,-78.7322,BOS,3.0
KRUT,RUT,"Rutland - Southern Vermont Regional, Rutland",Southern Vermont Regional,Rutland,US,43.5294,-72.9496,BOS,3.0
KBNA,BNA,"Nashville, Nashville",,Nashville,US,36.1245,-86.6782,BOS,2.98
KCHS,CHS,"Charleston Air Force Base-, Charleston",Air Force Base,Charleston,US,32.8986,-80.0405,BOS,2.89
KSLC,SLC,"Salt Lake City, Salt Lake City",,Salt Lake City,US,40.7884,-111.978,BOS,2.89
KRKD,RKD,"Knox County Regional, Rockland",Knox County Regional,Rockland,US,44.0601,-69.0992,BOS,2.86
CYTZ,YTZ,"Billy Bishop Toronto City Centre, Toronto",Billy Bishop  City Centre,Toronto,CA,43.6275,-79.3962,BOS,2.86
KSRQ,SRQ,"Sarasota Bradenton, Sarasota/Bradenton",Sarasota Bradenton,Sarasota/Bradenton,US,27.3954,-82.5544,BOS,2.75
KLEB,LEB,"Lebanon Municipal, Lebanon",Municipal,Lebanon,US,43.6261,-72.3042,BOS,2.71
CYUL,YUL,"Montréal Pierre Elliott Trudeau, Montréal",Pierre Elliott Trudeau,Montréal,CA,45.4706,-73.7408,BOS,2.71
KBHB,BHB,"Hancock County-Bar Harbor, Bar Harbor",Hancock County,Bar Harbor,US,44.45,-68.3615,BOS,2.65
KROC,ROC,"Greater Rochester, Rochester",Greater,Rochester,US,43.1189,-77.6724,BOS,2.59
MDPC,PUJ,"Punta Cana, Punta Cana",,Punta Cana,DO,18.567398,-68.3634,BOS,2.57
KLAS,LAS,"McCarran, Las Vegas",McCarran,Las Vegas,US,36.0801,-115.152,BOS,2.45
KSAN,SAN,"San Diego, San Diego",,San Diego,US,32.7336,-117.19,BOS,2.45
MYNN,NAS,"Lynden Pindling, Nassau",Lynden Pindling,Nassau,BS,25.039,-77.4662,BOS,2.43
KHPN,HPN,"Westchester County, White Plains",Westchester County,White Plains,US,41.067,-73.7076,BOS,2.29
MMUN,CUN,"Cancún, Cancún",,Cancún,MX,21.0365,-86.8771,BOS,2.29
KSTL,STL,"Lambert St Louis, Saint Louis",Lambert St Louis,Saint Louis,US,38.7487,-90.37,BOS,2.22
KPVC,PVC,"Provincetown Municipal, Provincetown",Municipal,Provincetown,US,42.0719,-70.2214,BOS,2.14
KMCI,MCI,"Kansas City, Kansas City",,Kansas City,US,39.2976,-94.7139,BOS,2.02
KAUG,AUG,"Augusta State, Augusta",State,Augusta,US,44.3206,-69.7973,BOS,2.0
KMSS,MSS,"Massena  Richards Field, Massena",Richards Field,Massena,US,44.9358,-74.8456,BOS,2.0
KMKE,MKE,"General Mitchell, Milwaukee",General Mitchell,Milwaukee,US,42.9472,-87.8966,BOS,1.9
EIDW,DUB,"Dublin, Dublin",,Dublin,IE,53.4213,-6.27007,BOS,1.86
LFPG,CDG,"Charles de Gaulle, Paris",Charles de Gaulle,Paris,FR,49.0128,2.549999,BOS,1.71
KSLK,SLK,"Adirondack Regional, Saranac Lake",Adirondack Regional,Saranac Lake,US,44.3853,-74.2062,BOS,1.61
KSYR,SYR,"Syracuse Hancock, Syracuse",Hancock,Syracuse,US,43.1112,-76.1063,BOS,1.59
KBED,BED,"Laurence G Hanscom Field, Bedford",Laurence G Hanscom Field,Bedford,US,42.47,-71.289,BOS,1.57
LPPT,LIS,"Lisbon Portela, Lisbon",Portela,Lisbon,PT,38.7813,-9.135919,BOS,1.43
EHAM,AMS,"Amsterdam Schiphol, Amsterdam",Schiphol,Amsterdam,NL,52.3086,4.763889,BOS,1.29
KHYA,HYA,"Barnstable Municipal Boardman Polando Field, Hyannis",Barnstable Municipal Boardman Polando Field,Hyannis,US,41.6693,-70.2804,BOS,1.29
OTHH,DOH,"Hamad, Doha",Hamad,Doha,QA,25.273056,51.608055,BOS,1.14
KSAT,SAT,"San Antonio, San Antonio",,San Antonio,US,29.5337,-98.4698,BOS,1.14
KMYR,MYR,"Myrtle Beach, Myrtle Beach",,Myrtle Beach,US,33.6797,-78.9283,BOS,1.02
OMDB,DXB,"Dubai, Dubai City",Dubai,Dubai City,AE,25.252798,55.3644,BOS,1.0
KFRG,FRG,"Republic, Farmingdale",Republic,Farmingdale,US,40.7288,-73.4134,BOS,1.0
EDDF,FRA,"Frankfurt-am-Main, Frankfurt-am-Main",,Frankfurt-am-Main,DE,50.0264,8.543129,BOS,1.0
CYHZ,YHZ,"Halifax / Stanfield, Halifax",Stanfield,Halifax,CA,44.8808,-63.5086,BOS,1.0
KEYW,EYW,"Key West, Key West",,Key West,US,24.5561,-81.7596,BOS,1.0
EGKK,LGW,"London Gatwick, London",Gatwick,London,GB,51.1481,-0.190277,BOS,1.0
KSDF,SDF,"Louisville  Standiford Field, Louisville",Standiford Field,Louisville,US,38.1744,-85.736,BOS,1.0
EDDM,MUC,"Munich, Munich",,Munich,DE,48.3538,11.7861,BOS,1.0
MDST,STI,"Cibao, Santiago",Cibao,Santiago,DO,19.4061,-70.6047,BOS,1.0
KSAV,SAV,"Savannah Hilton Head, Savannah",Hilton Head,Savannah,US,32.1276,-81.2021,BOS,1.0
RJAA,NRT,"Narita, Tokyo",Narita,Tokyo,JP,35.7647,140.386,BOS,1.0
LSZH,ZRH,"Kloten, Zurich",Kloten,Zurich,CH,47.4647,8.549169,BOS,1.0
MKJS,MBJ,"Sangster, Montego Bay",Sangster,Montego Bay,JM,18.5037,-77.9134,BOS,0.87
KMDT,MDT,"Harrisburg, Harrisburg",,Harrisburg,US,40.1935,-76.7634,BOS,0.86
KMEM,MEM,"Memphis, Memphis",,Memphis,US,35.0424,-89.9767,BOS,0.86
KPDX,PDX,"Portland, Portland",,Portland,US,45.5887,-122.598,BOS,0.86
MDSD,SDQ,"Las Américas, Santo Domingo City",Las Américas,Santo Domingo City,DO,18.4297,-69.6689,BOS,0.86
EINN,SNN,"Shannon, Limerick city",Shannon,Limerick city,IE,52.702,-8.924819,BOS,0.86
PHNL,HNL,"Honolulu, Honolulu",,Honolulu,US,21.3187,-157.922,BOS,0.71
LPPD,PDL,"João Paulo II, Ponta Delgada",João Paulo II,Ponta Delgada,PT,37.7412,-25.6979,BOS,0.6
KBZN,BZN,"Gallatin Field, Bozeman",Gallatin Field,Bozeman,US,45.7775,-111.153,BOS,0.57
KBTV,BTV,"Burlington, Burlington",,Burlington,US,44.4719,-73.1533,BOS,0.57
LTFM,IST,"Istanbul, Istanbul",,Istanbul,TR,41.275276,28.751944,BOS,0.57
LEMD,MAD,"Adolfo Suárez Madrid–Barajas, Madrid",Adolfo Suárez –Barajas,Madrid,ES,40.4936,-3.56676,BOS,0.57
KMHT,MHT,"Manchester, Manchester",,Manchester,US,42.9326,-71.4357,BOS,0.57
KMMU,MMU,"Morristown Municipal, Morristown",Municipal,Morristown,US,40.7994,-74.4149,BOS,0.57
MPTO,PTY,"Tocumen, Tocumen",,Tocumen,PA,9.071359,-79.3835,BOS,0.57
KPSM,PSM,"Portsmouth  at Pease, Portsmouth",at Pease,Portsmouth,US,43.0779,-70.8233,BOS,0.57
KHDN,HDN,"Yampa Valley, Hayden",Yampa Valley,Hayden,US,40.4812,-107.218,BOS,0.57
TNCM,SXM,"Princess Juliana, Saint Martin",Princess Juliana,Saint Martin,SX,18.041,-63.1089,BOS,0.5
MBPV,PLS,"Providenciales, Providenciales Island",Providenciales,Providenciales Island,TC,21.7736,-72.2659,BOS,0.45
TIST,STT,"Cyril E. King, Charlotte Amalie, Harry S. Truman Airport",Cyril E. King,"Charlotte Amalie, Harry S. Truman Airport",VI,18.3373,-64.9734,BOS,0.45
EKCH,CPH,"Copenhagen Kastrup, Copenhagen",Kastrup,Copenhagen,DK,55.6179,12.656,BOS,0.43
KNZY,NZY,"North Island Naval Air Station-Halsey Field, San Diego",North Island Naval Air Station-Halsey Field,San Diego,US,32.6992,-117.215,BOS,0.43
SBGR,GRU,"Guarulhos - Governador André Franco Montoro, São Paulo",Guarulhos - Governador André Franco Montoro,São Paulo,BR,-23.435556,-46.473057,BOS,0.43
RKSI,ICN,"Incheon, Seoul",Incheon,Seoul,KR,37.4691,126.451,BOS,0.43
KAVL,AVL,"Asheville Regional, Asheville",Regional,Asheville,US,35.4362,-82.5418,BOS,0.29
KPDK,PDK,"DeKalb Peachtree, Atlanta",DeKalb Peachtree,Atlanta,US,33.8756,-84.302,BOS,0.29
LEBL,BCN,"Barcelona, Barcelona",,Barcelona,ES,41.2971,2.078459,BOS,0.29
KBLM,BLM,"Monmouth Executive, Belmar/Farmingdale",Monmouth Executive,Belmar/Farmingdale,US,40.1869,-74.1249,BOS,0.29
KCHO,CHO,"Charlottesville Albemarle, Charlottesville",Albemarle,Charlottesville,US,38.1386,-78.4529,BOS,0.29
KVPS,VPS,"Eglin Air Force Base, Valparaiso",Eglin Air Force Base,Valparaiso,US,30.4832,-86.5254,BOS,0.29
KGSP,GSP,"Greenville Spartanburg, Greenville",Spartanburg,Greenville,US,34.8957,-82.2189,BOS,0.29
KAPF,APF,"Naples Municipal, Naples",Municipal,Naples,US,26.1526,-81.7753,BOS,0.29
LLBG,TLV,"Ben Gurion, Tel Aviv Yafo",Ben Gurion,Tel Aviv Yafo,IL,32.0114,34.8867,BOS,0.29
KBGR,BGR,"Bangor, Bangor",,Bangor,US,44.8074,-68.8281,BOS,0.14
KBCT,BCT,"Boca Raton, Boca Raton",,Boca Raton,US,26.378498,-80.1077,BOS,0.14
TBPB,BGI,"Sir Grantley Adams, Bridgetown",Sir Grantley Adams,Bridgetown,BB,13.0746,-59.4925,BOS,0.14
KCDW,CDW,"Essex County, Caldwell",Essex County,Caldwell,US,40.8752,-74.2814,BOS,0.14
KCRQ,CLD,"Mc Clellan-Palomar, Carlsbad",Mc Clellan-Palomar,Carlsbad,US,33.1283,-117.28,BOS,0.14
KBKL,BKL,"Burke Lakefront, Cleveland",Burke Lakefront,Cleveland,US,41.5175,-81.6833,BOS,0.14
KCGF,CGF,"Cuyahoga County, Cleveland",Cuyahoga County,Cleveland,US,41.5651,-81.4864,BOS,0.14
KMQS,CTH,"Chester County G O Carlson, Coatesville",Chester County G O Carlson,Coatesville,US,39.979,-75.8655,BOS,0.14
KDAL,DAL,"Dallas Love Field, Dallas",Love Field,Dallas,US,32.8471,-96.8518,BOS,0.14
KEGE,EGE,"Eagle County Regional, Eagle",County Regional,Eagle,US,39.6426,-106.918,BOS,0.14
KESN,ESN,"Easton Newnam Field, Easton",Newnam Field,Easton,US,38.8042,-76.069,BOS,0.14
MWCR,GCM,"Owen Roberts, Georgetown",Owen Roberts,Georgetown,KY,19.2928,-81.3577,BOS,0.14
KBDL,BDL,"Bradley, Hartford",Bradley,Hartford,US,41.9389,-72.6832,BOS,0.14
VHHH,HKG,"Chek Lap Kok, Hong Kong",Chek Lap Kok,Hong Kong,HK,22.3089,113.915,BOS,0.14
KLEX,LEX,"Blue Grass, Lexington",Blue Grass,Lexington,US,38.0365,-84.6059,BOS,0.14
MRLB,LIR,"Daniel Oduber Quiros, Liberia",Daniel Oduber Quiros,Liberia,CR,10.593299,-85.5444,BOS,0.14
EGGW,LTN,"London Luton, London",Luton,London,GB,51.8747,-0.368333,BOS,0.14
KONT,ONT,"Ontario, Ontario",,Ontario,US,34.056,-117.601,BOS,0.14
KEWB,EWB,"New Bedford Regional, New Bedford",Regional,New Bedford,US,41.6761,-70.9569,BOS,0.14
KPHF,PHF,"Newport News Williamsburg, Newport News",Williamsburg,Newport News,US,37.1319,-76.493,BOS,0.14
MYEH,ELH,"North Eleuthera, North Eleuthera",,North Eleuthera,BS,25.4749,-76.6835,BOS,0.14
KECP,ECP,"Northwest Florida Beaches, Panama City Beach",Northwest Florida Beaches,Panama City Beach,US,30.3417,-85.7973,BOS,0.14
KLOM,BBX,"Wings Field, Philadelphia",Wings Field,Philadelphia,US,40.1375,-75.2651,BOS,0.14
KSOP,SOP,"Moore County, Pinehurst/Southern Pines",Moore County,Pinehurst/Southern Pines,US,35.2374,-79.3912,BOS,0.14
KPVD,PVD,"Theodore Francis Green State, Providence",Theodore Francis Green State,Providence,US,41.7326,-71.4204,BOS,0.14
MDPP,POP,"Gregorio Luperon, Puerto Plata",Gregorio Luperon,Puerto Plata,DO,19.7579,-70.57,BOS,0.14
KSDL,SCF,"Scottsdale, Scottsdale",,Scottsdale,US,33.6229,-111.911,BOS,0.14
TLPL,UVF,"Hewanorra, Vieux Fort",Hewanorra,Vieux Fort,LC,13.7332,-60.9526,BOS,0.14
KMQY,MQY,"Smyrna, Smyrna",,Smyrna,US,36.009,-86.5201,BOS,0.14
KSGH,SGH,"Springfield-Beckley Municipal, Springfield",Beckley Municipal,Springfield,US,39.8403,-83.8402,BOS,0.14
KSUA,SUA,"Witham Field, Stuart",Witham Field,Stuart,US,27.1817,-80.2211,BOS,0.14
LPLA,TER,"Lajes Field, Lajes",Field,Lajes,PT,38.7618,-27.0908,BOS,0.14
KRDG,RDG,"Reading Regional Carl A Spaatz Field, Reading",Regional Carl A Spaatz Field,Reading,US,40.3785,-75.9652,BOS,0.14
KYIP,YIP,"Willow Run, Detroit",Willow Run,Detroit,US,42.2379,-83.5304,BOS,0.14
KILM,ILM,"Wilmington, Wilmington",,Wilmington,US,34.2706,-77.9026,BOS,0.14
KORH,ORH,"Worcester Regional, Worcester",Regional,Worcester,US,42.2673,-71.8757,BOS,0.14
KLAX,LAX,"Los Angeles, Los Angeles",,Los Angeles,US,33.9425,-118.408,JFK,23.43
KBOS,BOS,"General Edward Lawrence Logan, Boston",General Edward Lawrence Logan,Boston,US,42.3643,-71.0052,JFK,23.15
KMIA,MIA,"Miami, Miami",,Miami,US,25.7932,-80.2906,JFK,17.57
KSFO,SFO,"San Francisco, San Francisco",,San Francisco,US,37.619,-122.375,JFK,17.11
EGLL,LHR,"London Heathrow, London",Heathrow,London,GB,51.4706,-0.461941,JFK,16.86
KMCO,MCO,"Orlando, Orlando",,Orlando,US,28.4294,-81.309,JFK,14.73
KRDU,RDU,"Raleigh Durham, Raleigh/Durham",Raleigh Durham,Raleigh/Durham,US,35.8776,-78.7875,JFK,13.86
KATL,ATL,"Hartsfield Jackson Atlanta, Atlanta",Hartsfield Jackson,Atlanta,US,33.6367,-84.4281,JFK,12.0
KFLL,FLL,"Fort Lauderdale Hollywood, Fort Lauderdale",Hollywood,Fort Lauderdale,US,26.0726,-80.1527,JFK,9.99
KBUF,BUF,"Buffalo Niagara, Buffalo",Niagara,Buffalo,US,42.9405,-78.7322,JFK,8.59
LFPG,CDG,"Charles de Gaulle, Paris",Charles de Gaulle,Paris,FR,49.0128,2.549999,JFK,8.29
KDCA,DCA,"Ronald Reagan Washington National, District of Columbia",Ronald Reagan Washington National,District of Columbia,US,38.8521,-77.0377,JFK,8.0
KSEA,SEA,"Seattle Tacoma, Seattle",Tacoma,Seattle,US,47.449,-122.309,JFK,8.0
TJSJ,SJU,"Luis Munoz Marin, San Juan",Luis Munoz Marin,San Juan,PR,18.4394,-66.0018,JFK,7.73
MDSD,SDQ,"Las Américas, Santo Domingo City",Las Américas,Santo Domingo City,DO,18.4297,-69.6689,JFK,7.71
MDST,STI,"Cibao, Santiago",Cibao,Santiago,DO,19.4061,-70.6047,JFK,7.57
KORD,ORD,"Chicago O'Hare, Chicago",O'Hare,Chicago,US,41.9786,-87.9048,JFK,7.29
KCLT,CLT,"Charlotte Douglas, Charlotte",Douglas,Charlotte,US,35.214,-80.9431,JFK,7.21
LIRF,FCO,"Leonardo da Vinci–Fiumicino, Rome",Leonardo da Vinci–Fiumicino,Rome,IT,41.8045,12.2508,JFK,7.14
KBNA,BNA,"Nashville, Nashville",,Nashville,US,36.1245,-86.6782,JFK,6.82
KPBI,PBI,"Palm Beach, West Palm Beach",Palm Beach,West Palm Beach,US,26.6832,-80.0956,JFK,6.74
KDTW,DTW,"Detroit Metropolitan Wayne County, Detroit",Metropolitan Wayne County,Detroit,US,42.2124,-83.3534,JFK,6.59
